brand,year,total_stores,new_open,terminate,cancel,transfer,avg_sales,area_sales
돈불1971,0,0,0,0,0,0,676000,33800
또와유 명태간장조림,0,0,0,0,0,0,522119,13923
삼미당,0,0,0,0,0,0,361282,36128
매반생면,2023,5,0,0,0,0,18544,835
스타일맨,2023,4,0,0,0,0,4,0
툭툭 치킨,0,0,0,0,0,0,1,0
텐코인,0,0,0,0,0,0,5,0
우럼마왕만두,2023,29,2,0,5,0,31,0
성윤국가대표아구찜앤알곤이찜,2023,11,0,7,0,0,0,0
그래도달,0,0,0,0,0,0,20,0
기막힌뒷고기,2019,5,0,0,0,0,194146,7467
오래오래장충동왕족발보쌈,2023,3,0,0,0,0,64453,2927
하랑은상자초밥&amp;모밀,2019,4,1,0,1,0,6,1
피자 마켓 컴퍼니(pizza market company),2019,3,3,0,0,0,0,0
이번지 깡통집,2016,9,3,1,9,2017,245251,11610
브리앙뜨 워터키즈룸,2023,5,5,0,0,0,77386,1903
힐링초이스,2019,2,0,0,0,0,0,0
미친가리비,2018,2,2,0,0,0,0,0
빙고샵,0,0,0,0,0,0,172180,15440
예가수제순대,2021,3,0,0,0,0,5,0
이루리디자인연구소,2018,0,0,0,2,0,5,1
고정현헤어,2023,23,4,0,0,1,676509,12707
마호가니,0,0,0,0,0,0,667622,7358
한식주점낭만,0,0,0,0,0,0,425951,14094
열공스터디카페,2019,19,9,0,0,0,105595,2109
크린디포,2019,1,0,0,0,0,1,1
에즈헤어라운지,0,0,0,0,0,0,8,0
금화왕돈까스,2023,50,6,0,3,6,578380,13671
정갈한찬,2023,3,0,0,0,0,244369,5639
오니기리와이규동,0,0,0,0,0,0,182791,14795
스시오블랙컨테이너,2022,6,0,2,6,2023,764524,12894
고래국밥1980,2023,8,4,1,0,0,322000,15581
미락육회막국수,2023,2,3,0,1,0,232133,5414
먹쉬돈나,0,0,0,0,0,0,93173,61494
소고산제일루,2023,1,0,0,1,0,0,0
꼴깍치킨 Beer Pub,2016,9,1,0,0,0,0,0
킹콩샤워,2022,1,7,19,2023,19,136778,908
SUDDEN STEAK(써든스테이크),0,0,0,0,0,0,267400,8682
청도미나리식당,2023,5,5,0,0,0,325209,13008
