brand,year,total_stores,new_open,terminate,cancel,transfer,avg_sales,area_sales
십리향,2020,1,1,0,0,0,0,0
다다르다,2022,1,8,14,2023,14,64984,1112
두가지떡볶이,0,0,0,0,0,0,145386,13850
강구항 돗대골뱅이,0,0,0,0,0,0,1,1
만식이네와인포차,2020,8,1,0,3,0,124214,11292
코끼리가반한핫도그,2019,9,4,0,3,0,7,1
김장하는 고깃집 향산리,2021,0,0,0,0,0,5,0
패스트카페,2023,3,4,3,6,1,20247,2704
쁘띠몽드(PETITMONDE),2019,2021,0,2020,0,0,0,1
가마솥철마한우곰탕,2019,5,5,0,0,0,0,0
본건강한상,2021,8,0,0,4,1,169455,14431
배달짜글OH짜글,2019,37,37,0,0,0,50188,4615
카페코드 브라운브릭스,2023,0,2,0,2,0,0,0
보리밥보쌈전문점보릿골,2018,8,2,8,2019,8,10,0
은행먹은 명가보쌈,2019,5,6,0,1,0,0,0
픽스치킨(PICKS CHICKEN),2022,1,1,0,0,0,340826,11903
전통가마솥김치찜,2018,4,4,0,0,0,0,0
소한마리몽땅무쏘,2019,48,17,0,17,3,559276,8231
덕자네방앗간,2018,4,3,1,0,0,211591,10767
큰정할매순대국,0,0,0,0,0,0,294314,9673
고기미담,0,0,0,0,0,0,438665,19695
고바우통닭,0,0,0,0,0,0,117959,5632
아이스헌터,2023,36,37,0,1,0,154030,15196
엉클박스,0,0,0,0,0,0,203500,8568
돼지곱닭,0,0,0,0,0,0,125772,1
카페 오디디오,2023,2,0,0,0,0,180000,14400
미사랑임실치즈피자,0,0,0,0,0,0,57819,4176
샌드어스(SANDUS),0,0,0,0,0,0,151981,9163
헤어그라피,0,0,0,0,0,0,1,0
원퍼밀커피,0,0,0,0,0,0,314220,62768
김헌의행복골프,0,0,0,0,0,0,266203,2584
브리오슈도레(BRIOCHE DOREE),2020,2,0,0,0,0,289727,1708
순살만 1등치킨,0,0,0,0,0,0,105323,9575
와우버거,2023,10724,363657,155014,1058811,-1050,0,0
마피아떡볶이,2023,45,0,0,21,3,94390,6169
모락떡볶이,0,0,0,0,0,0,154409,9944
민혁이네 외국포차,2021,0,0,0,8,0,7,8
폴링(Paul Ring),2018,4,1,0,0,0,3,0
스테이크&amp;부대찌개브라더스,0,0,0,0,0,0,2,2
싱싱난리부르스,2019,10,1,7,0,0,171649,3593
스마트짐,0,0,0,0,0,0,2,3
꼭그닭치킨,0,0,0,0,0,0,506057,7324
라이라이중국어,2018,28,0,0,4,0,34,0
붐바타,2022,5,0,0,0,0,276911,10384
도도세차,2019,8,0,0,2,0,0,0
딥스치킨,2016,5,1,0,3,0,14,7
망원동티라미수,0,0,0,0,0,0,91616,5298
터치카페,2020,42,5,0,5,0,23171,6881
다온다자동차유리,2023,12,3,0,10,0,21,2
서남왕족발,0,0,0,0,0,0,4,4
껀어네방앗간,2021,7,7,0,0,0,0,0
조대포,2019,11,4,0,1,0,260828,7049
칼리가리 박사의 밀실,0,0,0,0,0,0,1,10301
비알씨디(BRCD),0,0,0,0,0,0,1,3
정진관의일품정,2021,2023,0,2022,0,0,0,1
오징어파는언니,0,0,0,0,0,0,65479,4155
예신,0,0,0,0,0,0,27,0
원셀프안경콘택트,2018,2,2,0,2,2019,1,2
새우치킨덤,2023,37,8,18,2,0,71453,6504
닭가대표,0,0,0,0,0,0,228944,19372
소소한쌈,2020,2,0,0,2,1,0,0
빠스타그램,2023,3,1,0,0,0,231510,9041
오복솥뚜껑,2023,7,4,0,0,0,917949,28100
원셰프의 행복식탁,2021,36,37,0,1,0,0,0
라붐커피 (LABOOM COFFEE),0,0,0,0,0,0,1670000,18370
ALI★KENYA★STAR(알리케냐스타)커피,2023,6,0,0,1,0,179428,2002
스파나무,2023,9,0,2,0,3,185427,5275
비에뜨반미,2019,37,12,0,10,3,70745,5462
94번가,0,0,0,0,0,0,183251,6441
홀리카홀리카,2021,19,3,6,0,0,310,0
샤인나노케어,2023,3,0,0,0,0,3,1
DELIGHT6(딜라잇식스),0,0,0,0,0,0,4,0
성대생우동짜장,2023,3,0,0,0,0,0,0
막창로2가 삽교곱창,2023,10,12,0,5,0,89886,6981
송옥,2021,4,0,0,0,0,865502,22411
포차플레잉,2019,6,0,0,0,0,880119,6439
속초네어장,2018,1,0,0,1,0,2,2
돔베초밥,2019,8,1,0,0,2,1217009,11869
아메리칸트레이,0,0,0,0,0,0,229824,8337
갓스칼프,0,0,0,0,0,0,3,1
바람의핫도그,2019,4,3,0,0,0,0,1
재성밀면,2020,3,2,0,0,0,0,1
코코래빗,2023,63,6,6,2,0,0,0
장충미도왕족발보쌈,2023,1,0,0,0,0,1,0
소소한날,2020,1,0,0,0,0,0,0
샌드그립(SANDGRIP),2019,17,17,0,0,0,121077,12108
아재불닭발,0,0,0,0,0,0,3,1
명태어장,2023,57,11,0,7,0,404063,10065
김양비어,2021,18,0,0,12,0,91341,3993
셀파수학교실,2018,2172,455,107,230,0,5143,611
소소린,2019,28,24,0,2,1,97981,0
쫄쫄맨,0,0,0,0,0,0,28422,2842
곤지암 한우 소머리국밥,2023,25,4,2,5,1,116773,3720
나베야,2022,3,0,0,3,2023,3,1
장미꽃 떡볶이&라면,2023,14,15,0,1,0,46616,4648
첫번째필족사랑,2023,5,0,0,1,0,100959,5447
청춘낙곱새,2022,5,1,0,0,0,1,1
원퍼밀커피,0,0,0,0,0,0,314220,62768
900달러,0,0,0,0,0,0,2,1
블루페퍼(BLUE PEPPER),0,0,0,0,0,0,1,0
김선하의 닭갈비 궁중누룽지탕,2023,2,0,0,0,0,0,0
브런치가든,0,0,0,0,0,0,643159,12732
롯데슈퍼,2017,66,7,2,2,2,2,361
큰통치킨,0,0,0,0,0,0,51029,3472
바닷물만난콩이:두부야,2023,94,1,0,0,0,192946,15422
코리엔탈깻잎두마리치킨,2023,154,21,63,0,0,142754,9379
비타리움,0,0,0,0,0,0,237273,20259
와이낫떡볶이,2023,2,0,0,1,0,79545,7565
봄이보리밥,2022,6,5,0,0,1,906686,18722
휘카페(Whicafe),2018,6,6,0,0,0,0,0
어반테니스 (URBAN TENNIS),2023,4,0,0,0,0,283142,2456
탭플레이(TAPLAY),0,0,0,0,0,0,63059,6151
제임스치즈등갈비,2018,4,0,0,2,0,10,0
바로쿡스파게티스토리,0,0,0,0,0,0,3,0
한고집복국,2018,7,5,0,3,0,259273,7031
배터리커피(BATTERY COFFEE),2021,1,1,0,0,0,264000,13200
비타리움,0,0,0,0,0,0,237273,20259
순탄고기,2019,1,1,0,0,0,0,0
호성이골뱅이,0,0,0,0,0,0,1,2
더플롯커피(THE PLOT COFFEE),2023,7,0,0,1,0,169804,9585
육마니 옛날전통육개장,2023,15,0,0,0,3,166729,4015
쿡쿡쿡(CookCookCook),0,0,0,0,0,0,95017,2612
꼬치마요,2022,9,2,2023,2,7,557749,27032
오가닉 빅마트,2019,2,0,0,0,0,2,1
떡통령의 빨간철가방,0,0,0,0,0,0,20,0
맥스피드PC,2022,49,0,7,0,0,57,0
밥스테이크,2019,10,0,2,4,1,10,0
마호가니,0,0,0,0,0,0,667622,7358
건강밥상 심마니,0,0,0,0,0,0,1200621,9877
수코미치,0,0,0,0,0,0,241246,17232
비거커피,2021,1,0,0,0,0,0,0
마케집,2022,16,15,16,2023,16,1,0
신복관,2023,14,2,2,3,0,305750,9862
라비앙르로즈(LA VIE ENR ROSE),0,0,0,0,0,0,500626,9553
쭈꾸밍,0,0,0,0,0,0,277432,49757
천하무족,0,0,0,0,0,0,1,1
얼큰이찌개마을,2018,31,3,12,0,2,310290,13471
풀오브어스(FULL OF EARTH),0,0,0,0,0,0,388170,18458
과일을 담다,2018,3,3,0,0,0,58489,4618
제주설심당,0,0,0,0,0,0,186364,5093
위스키브라더스,2023,2,1,0,0,0,265880,6922
푸른바다찜탕,0,0,0,0,0,0,265139,14235
