brand,category,stores_22,stores_23,diff,avg_sales,area_sales,total_invest
앤티앤스,(,50,49,-1,372301,46690,0
바로그집,(,2,0,-2,0,0,0
제이룸은 버거입니다,패스트푸드,0,1,1,0,0,28050
맘스터치 치킨전문점,패스트푸드,1,0,-1,0,0,94497
파스타시키면치킨을주는집,서양식,0,3,3,0,0,58300
무화당,커피,1,2,1,0,0,59400
청담족발,한식,0,2,2,0,0,24000
시크릿잉크 스칼프 아카데미,교육,0,1,1,0,0,0
Ycap,이사,12,11,-1,0,0,0
화품닭,화품닭,1,0,-1,0,0,24750
우리동네미미네,기타외식,5,8,3,69607,5682,27000
온리김치찌개(Only김치찌개),한식,7,7,0,0,0,16500
도레도레,(,5,7,2,0,0,0
88옛날통닭,기타외식,6,2,-4,116561,2723,0
모닝글로리,기타도소매,83,73,-10,278628,7634,18000
닭봉씨치즈순살두마리치킨,치킨,2,2,0,0,0,9800000
패럴랙스학원,교육(외국어),18,18,0,0,0,0
스마트데이터복구,서비스,4,1,-3,0,0,0
제레미20(Jeremie20),중식,6,4,-2,0,0,29700
다솥맛집,(,1,1,0,0,0,0
초민감자 브레인 힐링센터(Empath Korea Healing Center),기타,1,1,0,0,0,44000
돈불1971,(,1,1,0,0,0,0
또와유 명태간장조림,한식,2,1,-1,0,0,45000
삼미당,일식,0,1,1,0,0,16500
매반생면,기타외식,4,3,-1,19033,816,30000
우럼마왕만두,분식,8,6,-2,0,0,14300
성윤국가대표아구찜앤알곤이찜,한식,3,1,-2,0,0,11000
이번지 깡통집,기타외식,5,5,0,234837,10674,33000
이루리디자인연구소,(,1,1,0,0,0,0
마호가니,(,9,9,0,0,0,0
열공스터디카페,(주요,0,1,1,118510,2963,0
에즈헤어라운지,이미용,4,0,-4,0,0,0
정갈한찬,기타,1,1,0,0,0,0
오니기리와이규동,오니기리와이규동,13,11,-2,237187,18758,0
고래국밥1980,한식,1,0,-1,0,0,41800
피트니즈(FITNEEDS),스포츠,0,1,1,0,0,36000
먹쉬돈나,(,1,1,0,0,0,0
소고산제일루,중식,2,1,-1,0,0,44000
SUDDEN STEAK(써든스테이크),(,1,1,0,0,0,0
WINEBOW(와인보우),기타,1,2,1,0,0,19800
초이진헤어,이미용,1,1,0,0,0,99000
대풍족,한식,1,1,0,0,0,28600
민영활어공장,기준은,6,6,0,648818,32662,24200000
요거트월드,기타외식,14,13,-1,335281,28148,21120
장금수부대찌개,(,3,3,0,0,0,0
숯불의 향기,(,1,0,-1,0,0,0
마이리틀프렌드,(,1,2,1,0,0,0
편장군족발,(,5,6,1,0,0,0
선우케어,인력파견,0,1,1,0,0,0
볼빨간아구찜,한식,1,0,-1,0,0,14300
꽉찬치킨,기타외식,0,1,1,0,0,15128
배터리몬스터,(,3,2,-1,0,0,0
다하연,한식,1,0,-1,0,0,88000
하태준의 효자동닭꼬치,한식,0,1,1,0,0,25300
냉삼회관,한식,3,3,0,0,0,28050
고래국밥1980,한식,1,0,-1,0,0,41800
서울미트볼,(,6,6,0,311233,17746,0
탕비비탕후루,기타외식,0,1,1,0,0,44000
루다와인상점,(주요상품),0,2,2,0,0,28600
국제쭈꾸미1981,한식,1,0,-1,0,0,32450
CROCRO (크로크로),(,3,1,-2,0,0,0
맛없으면 환불해주는 장군집,한식,6,3,-3,0,0,0
피아노리브레,기타,5,7,2,0,0,165000
우리동네미미문방구,우리동네미미문방구,0,5,5,0,0,13200
핸드메이드,(,1,1,0,0,0,0
석쇠꾼,한식,1,3,2,0,0,0
감동식혜,일반음식점,3,3,0,98000,0,20000
귀품찬 국밥과 해장국,한식,1,1,0,0,0,23100000
아메리칸트레이,(,1,1,0,0,0,0
킥고잉(KICKGOING),기타,1,3,2,0,0,0
즉석국물떡볶이 달쫀,분식,3,2,-1,0,0,280500
귀품찬 불백집,한식,1,0,-1,0,0,23100000
The 대단한커피,커피,0,5,5,49797,3891,17000
떡가대표,떡가대표,2,4,2,0,0,16500
크린테크,자동차관련,2,2,0,0,0,25000
꽉찬쌀통닭,치킨,0,1,1,0,0,5500
이곱착한고기,한식,1,1,0,0,0,161920
바닷물만난콩이:두부야,농수산물,20,21,1,205541,16509,24000
찐하오 마라탕,중식,0,3,3,0,0,27500
망티커피,커피,2,2,0,0,0,0
픽싸(PIXXA),(,1,2,1,0,0,0
본정,제과제빵,1,0,-1,0,0,45100
홍대개미,기타외식,16,12,-4,0,0,89100
잉치킨,치킨,10,7,-3,324755,21073,33000
오식야주육회관,기타외식,1,1,0,0,0,16500
롯데프레시(LOTTE FRESH),종합소매점,52,55,3,1737959,33662,0
k-guesthouse,숙박,5,5,0,326992,1640,220000
박승철헤어스투디오,기준은,71,69,-2,547422047,11945256,110000000
마라차이즈,기타외식,1,1,0,0,0,4020180116870
육칠이,육칠이,6,17,11,739903,57288,13200
스펙터,안경,3,3,0,0,0,44000
힐스커피(HILLS COFFEE),커피,1,1,0,0,0,0
청해찜탕,한식,11,6,-5,165317,11963,16500
퍼스트보드게임카페,커피,1,1,0,0,0,11880
글라스스토리,(,56,10,-46,180536,10706,0
엠브이피자,패스트푸드,0,4,4,0,0,33000
모미락,기타외식,2,2,0,0,0,37840
레몬비,(,5,4,-1,0,0,0
조이매스,교육(교과),14,16,2,0,0,0
달리,기타도소매,1,1,0,0,0,0
영다방,커피,4,4,0,0,0,16720
젠요가,기타,6,6,0,402583,1973,250000
광수육회,한식,1,1,0,0,0,0
달리,기타도소매,1,1,0,0,0,0
터치카페,커피,14,15,1,27427,11741,22000
참치야,(,0,1,1,0,0,0
마스터피자쏭,피자,7,8,1,280167,22154,11000
유동커피,커피,1,0,-1,0,0,165000
에이아이오필라테스(AIO필라테스),(,1,1,0,0,0,0
키친랩,서양식,5,4,-1,0,0,270000
명태천국 명태조림감자탕,명태천국,1,1,0,0,0,0
원마케팅솔루션,기타,1,1,0,0,0,45000
통큰두마리찜닭,통큰두마리찜닭,7,4,-3,0,0,10560
셰프클라쓰,한식,0,3,3,0,0,13200
피맥컴퍼니,기타,2,1,-1,0,0,52800000
면채반,(,5,3,-2,0,0,66000
프라이빗(PRIVIT),(,3,2,-1,0,0,0
달링스테이크,기타,6,8,2,254023,13551,24750
다온다자동차유리,자동차관련,1,1,0,78397,3920,26400
노래하는크레용,기타교육,22,20,-2,99461,0,0
골프존파크(GOLFZON PARK),스포츠,271,313,42,536388,3465,14300
아보포케,기타,1,0,-1,0,0,4018278856500
씨채널,씨채널,2,4,2,0,0,59400
해골피자(HAEGOAL PIZZA),피자,4,3,-1,0,0,0
쇼타임피시앤카페,PC,7,0,-7,0,0,3095
크로플덕오리아가씨,기타,13,14,1,139658,17336,25300
착한쭝식,(,3,3,0,0,0,0
동해강릉초당짬뽕순두부,한식,2,4,2,0,0,22000
퐁닭,치킨,4,3,-1,0,0,15400
맥주활력수,주점,2,2,0,0,0,22000
호토모토(HottoMotto),(,4,3,-1,0,0,0
닥터맘산모도우미,(주요,9,9,0,241326,0,0
한강텐트대여 피크닉109,한강텐트대여,5,6,1,25102,922,0
홉슈크림,제과제빵,4,2,-2,116141,16562,55000
헤이스쿨스,기타,0,2,2,0,0,0
카페텀블러,커피,3,4,1,0,0,19800
곰미커피,커피,3,3,0,0,0,16500
홍익스테이크,기타,5,1,-4,0,0,22000
아리아리닭강정,치킨,3,4,1,0,0,22000
홍익궁중전통육개장,(,3,4,1,0,0,0
중고폰 브라더스,(,3,2,-1,0,0,0
탕쓱잘튀기는집,한식,7,1,-6,0,0,16500000
닭에꼬치닭,치킨,1,1,0,0,0,13200
고수의 운전면허,서비스,35,35,0,0,0,0
공주닭발,(,1,1,0,0,0,0
치킨갱스터,치킨,0,3,3,0,0,0
샤브향,(,5,0,-5,0,0,14960
